gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
P2RX7	484	5027	GuideToPharmacologyInteractions	allosteric modulator	9022	GW791343	ACEBUTOLOL	CHEMBL642	
BRD1	2724	23774	GuideToPharmacologyInteractions	inhibitor	9524	BAY-299	SULFASALAZINE	CHEMBL421	
GABRA6	GABRA6	2559	ChemblInteractions	positive allosteric modulator	CHEMBL1200472	QUAZEPAM	QUAZEPAM	CHEMBL1200472	
CHRM1	13	1128	GuideToPharmacologyInteractions	antagonist	8598	CY3B-TELENZEPINE			
SPHK1	2204	8877	GuideToPharmacologyInteractions	inhibitor	6622	SK1-I	CHEMBL2376441	CHEMBL2376441	
STAT5B	P51692	6777	TdgClinicalTrial		DASATINIB	DASATINIB	DASATINIB	CHEMBL1421	
GABRA5	408	2558	GuideToPharmacologyInteractions	agonist	4227	ISONIPECOTIC ACID	ISONIPECOTIC ACID	CHEMBL279998	
	TTDS00220		TTD	binder	DAP000408	AZITHROMYCIN	AZITHROMYCIN	CHEMBL529	
ADRB2	TTDS00037	154	TTD	agonist	DAP001426	SALMETEROL XINAFOATE	SALMETEROL XINAFOATE	CHEMBL1082607	
CDK4	CDK4	1019	ChemblInteractions	inhibitor	CHEMBL428690	ALVOCIDIB	ALVOCIDIB	CHEMBL428690	
GABRB3	GABRB3	2562	ChemblInteractions	positive allosteric modulator	CHEMBL1200472	QUAZEPAM	QUAZEPAM	CHEMBL1200472	
HDAC2	2616	3066	GuideToPharmacologyInteractions	inhibitor	7005	TRICHOSTATIN A	TRICHOSTATIN	CHEMBL99	
NDUFA13	GRIM19	51079	ChemblInteractions	inhibitor	CHEMBL1703	METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	CHEMBL1703	
RXFP3	353	51289	GuideToPharmacologyInteractions	agonist	1997	RELAXIN-3 (B CHAIN)			
NR3C1	P04150	2908	TdgClinicalTrial		FLUTICASONE PROPIONATE	FLUTICASONE PROPIONATE	FLUTICASONE PROPIONATE	CHEMBL1473	
MUC1	P15941	4582	TdgClinicalTrial		AS1402	AS1402	huHMFG1	CHEMBL2109637	
GABRA4	P48169	2557	TEND		CLONAZEPAM	CLONAZEPAM	CLONAZEPAM	CHEMBL452	
NDUFS5	NDUFS5	4725	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
PRL	PRL	5617	NCI		BUPROPION	BUPROPION	BUPROPION	CHEMBL894	3109881
NMUR1	298	10316	GuideToPharmacologyInteractions	agonist	9008	COMPOUND 5D [PMID: 25815150]			
SLC6A4	P31645	6532	TEND		SERTRALINE	SERTRALINE	SERTRALINE	CHEMBL809	
CHRM2	P08172	1129	TEND		DOXACURIUM	DOXACURIUM	DOXACURIUM	CHEMBL1237123	
FLT3	1807	2322	GuideToPharmacologyInteractions	inhibitor	8106	URMC-099			
	27		GuideToPharmacologyInteractions	antagonist	499	WB 4101	CHEMBL25554	CHEMBL25554	
TLR3	TLR3	7098	NCI		IL-4	IL-4	PYROXAMIDE	CHEMBL353581	16670286
GRIN2A	NMDAR2A	2903	ChemblInteractions	partial agonist	CHEMBL3545230	NRX-1074	NRX-1074	CHEMBL3545230	
CCR4	61	1233	GuideToPharmacologyInteractions	antagonist	844	PLERIXAFOR	PLERIXAFOR	CHEMBL18442	
HDAC4	2659	9759	GuideToPharmacologyInteractions	inhibitor	7006	ROMIDEPSIN	ROMIDEPSIN	CHEMBL1213490	
CYP1A1	CYP1A1	1543	NCI		RISPERIDONE	RISPERIDONE	RISPERIDONE	CHEMBL85	10048600
ADRA1A	ADRA1C	148	ChemblInteractions	antagonist	CHEMBL1200914	TAMSULOSIN HYDROCHLORIDE	TAMSULOSIN HYDROCHLORIDE	CHEMBL1200914	
JAK2	JAK2	3717	ChemblInteractions	inhibitor	CHEMBL1795071	RUXOLITINIB PHOSPHATE	RUXOLITINIB PHOSPHATE	CHEMBL1795071	
ACE	P12821	1636	TdgClinicalTrial		DESERPIDINE	DESERPIDINE	DESERPIDINE	CHEMBL1200515	
HRH1	HRH1	3269	ChemblInteractions	antagonist	CHEMBL1719	OLOPATADINE HYDROCHLORIDE	OLOPATADINE HYDROCHLORIDE	CHEMBL1719	
RRM1	RRM1	6240	NCI		CISPLATIN	CISPLATIN			12917817
TOP1	TOP1	7150	NCI		CAFFEINE	CAFFEINE	CAFFEINE	CHEMBL113	1339096
KRAS	KRAS	3845	OncoKB		Trametinib	Trametinib	TRAMETINIB	CHEMBL2103875	25609064,20736363,26515496,24746704,15483017,23200175,20609353,26728409,25787767,25792301,23934108,22805291,15801831,26837474,24908424,25801412,15542782,26028255
TGFB1	TGFB1	7040	NCI		TRIAMCINOLONE	TRIAMCINOLONE	TRIAMCINOLONE	CHEMBL1451	12174062
CSF1R	FMS	1436	ChemblInteractions	inhibitor	CHEMBL3545079	PLX-5622	PLX-5622	CHEMBL3545079	
IGF1R	IGF-1R	3480	TALC	inhibitor	LINSITINIB	LINSITINIB	LINSITINIB	CHEMBL1091644	
	TTDS00016		TTD	inhibitor	DCL000340	AMINEPTINE	AMINEPTINE	CHEMBL418995	
MC4R	285	4160	GuideToPharmacologyInteractions	agonist	1324	AFAMELANOTIDE	AFAMELANOTIDE	CHEMBL2108301	
PIK3CD	PIK3CD	5293	ChemblInteractions	inhibitor	CHEMBL3545052	CUDC-907	CUDC-907	CHEMBL3545052	
	TTDS00083		TTD	inhibitor	DAP001360	CIPROFLOXACIN			
RYR3	749	6263	GuideToPharmacologyInteractions	activator	1713	ATP	ADENOSINE TRIPHOSPHATE	CHEMBL14249	
ERBB2	TTDS00249	2064	TTD	inhibitor	DAP001451	TYVERB/TYKERB			
BRAF	BRAF	673	CKB		Bevacizumab	Bevacizumab	BEVACIZUMAB	CHEMBL1201583	21216929
CYP2D6	CYP2D6	1565	FDA		Fluvoxamine	Fluvoxamine	FLUVOXAMINE	CHEMBL814	
	27		GuideToPharmacologyInteractions	agonist	523	XYLAZINE	XYLAZINE	CHEMBL297362	
PROKR2	336	128674	GuideToPharmacologyInteractions	agonist	1867	PROKINETICIN-2			
CHRNA4	TTDS00303	1137	TTD	antagonist	DAP000175	NICOTINE	NICOTINE	CHEMBL3	
PDGFRA	PDGFR2	5156	ChemblInteractions	inhibitor	CHEMBL52885	ENMD-981693	ENMD-981693	CHEMBL52885	
XDH	XDH	7498	NCI		FENTANYL	FENTANYL	FENTANYL	CHEMBL596	9637647
GABRR1	P24046	2569	TEND		CLOBAZAM	CLOBAZAM	CLOBAZAM	CHEMBL70418	
CACNA1B	TTDS00529	774	TTD	blocker	DAP001540	ZICONOTIDE	ZICONOTIDE	CHEMBL2103752	
SCN10A	Q9Y5Y9	6336	TEND		BENZOCAINE	BENZOCAINE	BENZOCAINE	CHEMBL278172	
SLC5A1	SLC5A1	6523	NCI		STZ	STZ	STREPTOZOTOCIN	CHEMBL1651906	1722397
PSMC1P1	PSMC1P1	151645	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
BRD3	2725	8019	GuideToPharmacologyInteractions	inhibitor	6004	LY 294002	LY-294002	CHEMBL98350	
EGFR	1797	1956	GuideToPharmacologyInteractions	inhibitor	5917	AG 9			
CCL21	CCL21	6366	NCI		LT-BETA	LT-BETA			15632007
MTOR	MTOR	2475	TALC	inhibitor	PF-04691502	PF-04691502	PF-04691502	CHEMBL1234354	
SCN3A	Q9NY46	6328	TdgClinicalTrial		TETRODOTOXIN	TETRODOTOXIN	TETRODOTOXIN	CHEMBL507974	
ADORA2A	TTDS00187	135	TTD	antagonist	DPR000009	ADENOSINE A(2A) RECEPTOR ANTAGONIST			
CCR5	P51681	1234	TEND		MARAVIROC	MARAVIROC	MARAVIROC	CHEMBL1201187	
PIK3CA	PIK3CA	5290	ChemblInteractions	inhibitor	CHEMBL1684984	PA-799	PA-799	CHEMBL1684984	
GABRG1	Q8N1C3	2565	TEND		TRIAZOLAM	TRIAZOLAM	TRIAZOLAM	CHEMBL646	
FGF2	FGF2	2247	NCI		ATORVASTATIN	ATORVASTATIN	ATORVASTATIN	CHEMBL1487	12147302
EDNRA	219	1909	GuideToPharmacologyInteractions	antagonist	3950	SITAXSENTAN			
SLC15A2	985	6565	GuideToPharmacologyInteractions	inhibitor	4498	LYS[Z(NO2)]-PRO			
PTHLH	PTHLH	5744	NCI		DIFFERENTIATION AGENTS	DIFFERENTIATION AGENTS			10839458
APC	APC	324	NCI		DIFLUOROMETHYLORNITHINE	DIFLUOROMETHYLORNITHINE	L-EFLORNITHINE	CHEMBL222838	10766173
NOS2	P35228	4843	TdgClinicalTrial		KD7040	KD7040			
OPRD1	317	4985	GuideToPharmacologyInteractions	agonist	1603	(-)-BREMAZOCINE	CHEMBL1797687	CHEMBL1797687	
HTR2C	8	3358	GuideToPharmacologyInteractions	agonist	7	8-OH-DPAT	8-OH-DPAT	CHEMBL56	
SLC6A3	Q01959	6531	TEND		DEXTROAMPHETAMINE	DEXTROAMPHETAMINE	DEXTROAMPHETAMINE	CHEMBL612	
LDLR	LDLR	3949	NCI		HEPARIN CALCIUM	HEPARIN CALCIUM	HEPARIN CALCIUM	CHEMBL1201513	17322644
P2RY1	323	5028	GuideToPharmacologyInteractions	antagonist	5804	PFIZER COMPOUND 11 [PMID:18445527]	CHEMBL255306	CHEMBL255306	
	1432		GuideToPharmacologyInteractions	inhibitor	7376	RILAPLADIB	RILAPLADIB	CHEMBL2104981	
KCNJ11	Q14654	3767	TEND		GLIBENCLAMIDE	GLIBENCLAMIDE	GLYBURIDE	CHEMBL472	
CSF2	CSF2	1437	NCI		PLATINUM	PLATINUM			8110490
GABRA3	P34903	2556	TEND		THIOPENTAL	THIOPENTAL	THIOPENTAL	CHEMBL441	
GABRB1	P18505	2560	TdgClinicalTrial		GABOXADOL	GABOXADOL	GABOXADOL	CHEMBL312443	
CHRM5	P08912	1133	TEND		HOMATROPINE METHYLBROMIDE	HOMATROPINE METHYLBROMIDE	HOMATROPINE METHYLBROMIDE	CHEMBL1200851	
CACNB4	CACNLB4	785	ChemblInteractions	modulator	CHEMBL1059	PREGABALIN	PREGABALIN	CHEMBL1059	
ALOX5	1385	240	GuideToPharmacologyInteractions	inhibitor	9054	PF-04191834			
KDR	VEGFR-2	3791	TALC	inhibitor	CT-322	CT-322			
FLT4	P35916	2324	TdgClinicalTrial		LINIFANIB	LINIFANIB	LINIFANIB	CHEMBL223360	
EPCAM	TACSTD1	4072	NCI		ALUM	ALUM			11768621
GSTP1	GSTP1	2950	NCI		BPDE	BPDE			8866791
HRH1	262	3269	GuideToPharmacologyInteractions	agonist	1196	2-(3-IODOPHENYL)HISTAMINE	CHEMBL287367	CHEMBL287367	
CHRM4	16	1132	GuideToPharmacologyInteractions	allosteric modulator	341	ALCURONIUM	ALCURONIUM	CHEMBL1180293	
HDAC7	Q8WUI4	51564	TdgClinicalTrial		MGCD-0103	MGCD-0103	MOCETINOSTAT	CHEMBL272980	
MMP2	MMP2	4313	NCI		VINBLASTINE	VINBLASTINE	VINBLASTINE	CHEMBL159	10590059
GABRA3	GABRA3	2556	ChemblInteractions	positive allosteric modulator	CHEMBL1200703	CHLORDIAZEPOXIDE HYDROCHLORIDE	CHLORDIAZEPOXIDE HYDROCHLORIDE	CHEMBL1200703	
BRAF	BRAF	673	CKB		LY294002	LY294002	LY-294002	CHEMBL98350	23039341
AKR1B1P4	423	390402	GuideToPharmacologyInteractions	allosteric modulator	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
MYC	MYC	4609	NCI		POH	POH	PERILLYL ALCOHOL	CHEMBL236687	16439861
GABRR2	P28476	2570	TdgClinicalTrial		CLOBAZAM	CLOBAZAM	CLOBAZAM	CHEMBL70418	
HDAC3	2617	8841	GuideToPharmacologyInteractions	inhibitor	1059	BUTYRIC ACID	BUTANOIC ACID	CHEMBL14227	
SPP1	SPP1	6696	NCI		TYROSINE KINASE INHIBITOR	TYROSINE KINASE INHIBITOR			12176960
	592		GuideToPharmacologyInteractions	antagonist	2640	AGN193109	CHEMBL358145	CHEMBL358145	
TOP2B	TTDS00080	7155	TTD	inhibitor	DAP000929	ROSOXACIN	ROSOXACIN	CHEMBL291157	
PIM3	2160	415116	GuideToPharmacologyInteractions	inhibitor	8156	COMPOUND 20 [PMID: 22136433]			
IGF1R	TTDS00269	3480	TTD	inhibitor	DAP000287	MECASERMIN	MECASERMIN	CHEMBL1201716	
CDK9	CDC2L4	1025	ChemblInteractions	inhibitor	CHEMBL1944698	TG-02	TG-02	CHEMBL1944698	
HTR1A	1	3350	GuideToPharmacologyInteractions	antagonist	78	SDZ-216525			
IGF1R	IGF1R	3480	NCI		NAC	NAC	ACETYLCYSTEINE	CHEMBL600	12485928
DRD2	DRD2	1813	ChemblInteractions	antagonist	CHEMBL1200951	FLUPHENAZINE ENANTHATE	FLUPHENAZINE ENANTHATE	CHEMBL1200951	
CALM1	P62158	801	TEND		FLUNARIZINE	FLUNARIZINE	FLUNARIZINE	CHEMBL30008	
NGFR	TTDC00189	4804	TTD	antagonist	DCL000636	SAR164877	Fasinumab	CHEMBL2109528	
PPIA	TTDS00323	5478	TTD	binder	DAP000198	L-PROLINE	L-PROLINE	CHEMBL54922	
GABRB3	P28472	2562	TdgClinicalTrial		NITRAZEPAM	NITRAZEPAM	NITRAZEPAM	CHEMBL13209	
NDUFB3	NDUFB3	4709	ChemblInteractions	inhibitor	CHEMBL3545320	ME-344	ME-344	CHEMBL3545320	
TOP2A	TOP2A	7153	NCI		MITOXANTRONE	MITOXANTRONE	MITOXANTRONE	CHEMBL58	9494516,9426516
PTGS2	TTDS00041	5743	TTD	inhibitor	DAP000779	MEFENAMIC ACID	MEFENAMIC ACID	CHEMBL686	
GABRR3	A8MPY1	200959	TEND		QUAZEPAM	QUAZEPAM	QUAZEPAM	CHEMBL1200472	
TYMP	TYMP	1890	NCI		FLUOROURACIL	FLUOROURACIL	FLUOROURACIL	CHEMBL185	11205264
CXCR4	71	7852	GuideToPharmacologyInteractions	agonist	847	CXCL12-(1-9)	METHIONINE SULFOXIDE	CHEMBL445753	
MCHR1	TTDC00133	2847	TTD	antagonist	DPR000109	SNAP-7941	SNAP-7941	CHEMBL185271	
RET	RET	5979	TALC	inhibitor	LENVATINIB	LENVATINIB	LENVATINIB	CHEMBL1289601	
HTR2B	7	3357	GuideToPharmacologyInteractions	antagonist	130	SB 224289	SB-224289	CHEMBL281350	
GABRB1	P18505	2560	TEND		CLOBAZAM	CLOBAZAM	CLOBAZAM	CHEMBL70418	
PTGS1	P23219	5742	TdgClinicalTrial		ETODOLAC	ETODOLAC	ETODOLAC	CHEMBL622	
CASR	54	846	GuideToPharmacologyInteractions	allosteric modulator	716	NPS 2143	CHEMBL180672	CHEMBL180672	
THRB	P10828	7068	TdgClinicalTrial		LIOTHYRONINE	LIOTHYRONINE	LIOTHYRONINE	CHEMBL1544	
P2RY4	P51582	5030	TdgClinicalTrial		MC-1	MC-1			
XIAP	XIAP	331	NCI		2-CDA	2-CDA	CLADRIBINE	CHEMBL1619	15813915
NMBR	38	4829	GuideToPharmacologyInteractions	antagonist	6172	D-NAL,CYS,TYR,D-TRP,ORN,VAL,CYS,NAL-NH2	GALLAMINE TRIETHIODIDE	CHEMBL1200993	
GABRG2	GABRG2	2566	ChemblInteractions	positive allosteric modulator	CHEMBL661	ALPRAZOLAM	ALPRAZOLAM	CHEMBL661	
GABRA4	GABRA4	2557	ChemblInteractions	positive allosteric modulator	CHEMBL646	TRIAZOLAM	TRIAZOLAM	CHEMBL646	
DHFR	DHFR	1719	NCI		MITOMYCIN-C	MITOMYCIN-C	MITOMYCIN	CHEMBL105	1332730
CHRNA4	P43681	1137	TEND		VARENICLINE	VARENICLINE	VARENICLINE	CHEMBL1396	
GABRA5	P31644	2558	TdgClinicalTrial		FLUNITRAZEPAM	FLUNITRAZEPAM	FLUNITRAZEPAM	CHEMBL13280	
CHRM3	15	1131	GuideToPharmacologyInteractions	antagonist	367	TIOTROPIUM	TIOTROPIUM (CHEMBL1900528)	CHEMBL1900528	
DBH	DBH	1621	NCI		TESTOSTERONE	TESTOSTERONE	TESTOSTERONE	CHEMBL386630	824661
ALK	ALK	238	FDA		Crizotinib (1)	Crizotinib (1)			
SCN5A	TTDS00402	6331	TTD	blocker	DAP000519	ENCAINIDE	ENCAINIDE	CHEMBL315838	
GABRQ	Q9UN88	55879	TdgClinicalTrial		OXAZEPAM	OXAZEPAM	OXAZEPAM	CHEMBL568	
HRH1	P35367	3269	TdgClinicalTrial		CETIRIZINE	CETIRIZINE	CETIRIZINE	CHEMBL1000	
HTR3A	TTDS00106	3359	TTD	antagonist	DCL000854	KB-6806			
CHRNA7	468	1139	GuideToPharmacologyInteractions	agonist	3969	BRADANICLINE	BRADANICLINE	CHEMBL1258006	
TNF	TNF	7124	NCI		ANESTHETICS	ANESTHETICS			15041592
JAK2	2048	3717	GuideToPharmacologyInteractions	inhibitor	9387	CEP-33779	CHEMBL2062804	CHEMBL2062804	
GRIN2A	NMDAR2A	2903	ChemblInteractions	antagonist	CHEMBL3545351	AV-101	AV-101	CHEMBL3545351	
AFP	AFP	174	NCI		METHOTREXATE	METHOTREXATE	METHOTREXATE	CHEMBL34259	2581382
MET	P08581	4233	TdgClinicalTrial		XL880	XL880	FORETINIB	CHEMBL1230609	
CXCL8	IL8	3576	NCI		IL-1	IL-1			2250017
ADRA2B	P18089	151	TdgClinicalTrial		EPINEPHRINE	EPINEPHRINE	EPINEPHRINE	CHEMBL679	
AGT	AGT	183	NCI		ADENOVIRUS VECTOR	ADENOVIRUS VECTOR			16014023
VDR	605	7421	GuideToPharmacologyInteractions	agonist	2775	LEXACALCITOL	LEXACALCITOL	CHEMBL432600	
SLC6A3	DAT1	6531	ChemblInteractions		CHEMBL3544971	DEXTROAMPHETAMINE SULFATE	DEXTROAMPHETAMINE SULFATE	CHEMBL3544971	
VDR	VDR	7421	NCI		ANTISERUM	ANTISERUM			10962349
CD80	CD80	941	NCI		TOREMIFENE	TOREMIFENE	TOREMIFENE	CHEMBL1655	10632979
IFNAR2	TTDS00492	3455	TTD	binder	DAP001284	INTERFERON ALFACON-1	INTERFERON ALFACON-1	CHEMBL1201557	
DFFB	DFFB	1677	NCI		CURCUMIN	CURCUMIN	CURCUMIN	CHEMBL116438	16013440
SCN5A	SCN5A	6331	ChemblInteractions	blocker	CHEMBL1200478	DYCLONINE HYDROCHLORIDE	DYCLONINE HYDROCHLORIDE	CHEMBL1200478	
PIK3R3	PIK3R3	8503	ChemblInteractions	inhibitor	CHEMBL2387080	TASELISIB	TASELISIB	CHEMBL2387080	
TGM2	TGM2	7052	NCI		DOXORUBICIN	DOXORUBICIN	DOXORUBICIN	CHEMBL53463	18174247
PIK3CG	PIK3CG	5294	ChemblInteractions	inhibitor	CHEMBL2017974	BUPARLISIB	BUPARLISIB	CHEMBL2017974	
BDNF	BDNF	627	NCI		DOXORUBICIN	DOXORUBICIN	DOXORUBICIN	CHEMBL53463	10728907
ADORA2A	19	135	GuideToPharmacologyInteractions	antagonist	386	DPCPX	1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]	CHEMBL183	
KRAS	KRAS	3845	CIViC		DOCETAXEL	DOCETAXEL	DOCETAXEL	CHEMBL92	23200175,27876675,26125448,28492898
MAOB	TTDS00341	4129	TTD	inhibitor	DAP000579	SELEGILINE	SELEGILINE	CHEMBL972	
VKORC1	Q9BQB6	79001	TEND		DICUMAROL	DICUMAROL	DICUMAROL	CHEMBL1466	
GABRA6	GABRA6	2559	ChemblInteractions	positive allosteric modulator	CHEMBL1256	ISOFLURANE	ISOFLURANE	CHEMBL1256	
ESR2	ESTRB	2100	ChemblInteractions	modulator	CHEMBL6318	IDOXIFENE	IDOXIFENE	CHEMBL6318	
NAT1	NAT1	9	ChemblInteractions	inhibitor	CHEMBL2105732	LEVOMILNACIPRAN HYDROCHLORIDE	LEVOMILNACIPRAN HYDROCHLORIDE	CHEMBL2105732	
AKT2	AKT2	208	ClearityFoundationClinicalTrial		AFURESERTIB HYDROCHLORIDE	AFURESERTIB HYDROCHLORIDE	AFURESERTIB HYDROCHLORIDE	CHEMBL2219423	
CACNA1I	KIAA1120	8911	ChemblInteractions	modulator	CHEMBL1059	PREGABALIN	PREGABALIN	CHEMBL1059	
GRIA2	P42262	2891	TEND		SECOBARBITAL	SECOBARBITAL	SECOBARBITAL	CHEMBL447	
RPS6KA3	1528	6197	GuideToPharmacologyInteractions	inhibitor	8175	COMPOUND 8H [PMID: 22765894]			
CACNA2D2	KIAA0558	9254	ChemblInteractions	modulator	CHEMBL940	GABAPENTIN	GABAPENTIN	CHEMBL940	
ADRA2A	P08913	150	TEND		LOFEXIDINE	LOFEXIDINE	LOFEXIDINE	CHEMBL17860	
NAT1	NAT1	9	ChemblInteractions	inhibitor	CHEMBL2103857	EDIVOXETINE	EDIVOXETINE	CHEMBL2103857	
HRH1	262	3269	GuideToPharmacologyInteractions	antagonist	6063	CLEMASTINE	CLEMASTINE	CHEMBL1626	
SERPINE1	P05121	5054	TdgClinicalTrial		UROKINASE	UROKINASE	UROKINASE	CHEMBL1201420	
GFAP	GFAP	2670	NCI		DISULFIRAM	DISULFIRAM	DISULFIRAM	CHEMBL964	1992564
MAP2K1	MAP2K1	5604	MyCancerGenomeClinicalTrial	inhibitor	PD 0325901	PD 0325901	PD-0325901	CHEMBL507361	
BRAF	BRAF	673	CKB		ARQ092	ARQ092	ARQ-092	CHEMBL3545422	26469692
IDH2	IDH2	3418	CKB		AG-881	AG-881			
MAPK11	Q15759	5600	TdgClinicalTrial		ARRY-797	ARRY-797	ARRY-797	CHEMBL1088750	
LCK	LCK	3932	ChemblInteractions	inhibitor	CHEMBL403989	TG100-801	TG100-801	CHEMBL403989	
XRCC1	XRCC1	7515	CIViC		CARBOPLATIN	CARBOPLATIN	CARBOPLATIN	CHEMBL1351	16875718
P2RY12	TTDS00113	64805	TTD	antagonist	DAP000723	TICLOPIDINE	TICLOPIDINE	CHEMBL833	
AKR1B1	AKR1B1	231	NCI		GROWTH AGENTS	GROWTH AGENTS			9371720
HTR2C	8	3358	GuideToPharmacologyInteractions	antagonist	59	ZIPRASIDONE	ZIPRASIDONE	CHEMBL708	
GRIN2B	Q13224	2904	TdgClinicalTrial		EVT-101	EVT-101	EVT-101 (CHEMBL3545349)	CHEMBL3545349	
EPHA4	HEK8	2043	ChemblInteractions	inhibitor	CHEMBL24828	VANDETANIB	VANDETANIB	CHEMBL24828	
PTGS1	P23219	5742	TEND		PIROXICAM	PIROXICAM	PIROXICAM	CHEMBL527	
GABRE	P78334	2564	TdgClinicalTrial		ALPRAZOLAM	ALPRAZOLAM	ALPRAZOLAM	CHEMBL661	
IGF1R	IGF1R	3480	CancerCommons	antibody	CIXUTUMUMAB	CIXUTUMUMAB	CIXUTUMUMAB	CHEMBL1743001	
BAX	BAX	581	NCI		MEDROXYPROGESTERONE	MEDROXYPROGESTERONE	MEDROXYPROGESTERONE ACETATE	CHEMBL717	15885761
BAX	BAX	581	NCI		ETOPOSIDE	ETOPOSIDE	ETOPOSIDE	CHEMBL44657	15454884
SMAD3	SMAD3	4088	NCI		ENZYME INHIBITOR	ENZYME INHIBITOR			15619341
DRD2	P14416	1813	TEND		LOXAPINE	LOXAPINE	LOXAPINE	CHEMBL831	
EDNRA	219	1909	GuideToPharmacologyInteractions	antagonist	999	PD-156707	PD-156707	CHEMBL8981	
ADRB2	29	154	GuideToPharmacologyInteractions	agonist	558	SALBUTAMOL	ALBUTEROL	CHEMBL714	
FGFR3	FGFR3	2261	CIViC		DOVITINIB	DOVITINIB	DOVITINIB	CHEMBL522892	21119661
BCL2	2844	596	GuideToPharmacologyInteractions	antagonist	8320	ABT-737	CHEMBL376408	CHEMBL376408	
KRAS	KRAS	3845	CGI		MEK inhibitor	MEK inhibitor			
HDAC1	Q13547	3065	TdgClinicalTrial		BELINOSTAT	BELINOSTAT	BELINOSTAT	CHEMBL408513	
AURKA	AURORA A	6790	TALC	inhibitor	TAK901	TAK901	TAK-901	CHEMBL3544932	
SRC	2206	6714	GuideToPharmacologyInteractions	inhibitor	8912	ACALABRUTINIB	ACALABRUTINIB	CHEMBL3707348	
SMO	TTDC00344	6608	TTD	inhibitor	DCL001165	BMS-833923	BMS-833923	CHEMBL3545403	
DRD3	P35462	1814	TdgClinicalTrial		BROMOCRIPTINE	BROMOCRIPTINE	BROMOCRIPTINE	CHEMBL493	
NRAS	NRAS	4893	OncoKB		Radioiodine Uptake Therapy	Radioiodine Uptake Therapy			22105174,23406027
PTEN	PTEN	5728	CKB		MEK162	MEK162	BINIMETINIB	CHEMBL3187723	26577700
ERBB2	HER2	2064	ChemblInteractions	inhibitor	CHEMBL3545154	Poziotinib	Poziotinib	CHEMBL3545154	
AURKA	AURKA	6790	MyCancerGenome	inhibitor	BI847325	BI847325			
DRD3	DRD3	1814	ChemblInteractions	agonist	CHEMBL1200411	ROPINIROLE HYDROCHLORIDE	ROPINIROLE HYDROCHLORIDE	CHEMBL1200411	
AR	AR	367	CIViC		FLUTAMIDE	FLUTAMIDE	FLUTAMIDE	CHEMBL806	26000489
MRGPRX1	156	259249	GuideToPharmacologyInteractions	agonist	4058	BOVINE ADRENAL MEDULLA PEPTIDE 8-22			
	383		GuideToPharmacologyInteractions	activator	2335	SKA-31	CHEMBL1709719	CHEMBL1709719	
HTR1D	TTDS00100	3352	TTD	agonist	DAP000219	SUMATRIPTAN	SUMATRIPTAN	CHEMBL128	
MMP2	MMP2	4313	NCI		IL-2	IL-2			8938794
HSPA4	HSPA4	3308	NCI		NIMESULIDE	NIMESULIDE	NIMESULIDE	CHEMBL56367	9645681
COMT	COMT	1312	ChemblInteractions	inhibitor	CHEMBL1324	TOLCAPONE	TOLCAPONE	CHEMBL1324	
GABRA4	P48169	2557	TEND		PENTOBARBITAL	PENTOBARBITAL	PENTOBARBITAL	CHEMBL448	
CACNA1S	CACH1	779	ChemblInteractions	blocker	CHEMBL1200984	AMLODIPINE MALEATE	AMLODIPINE MALEATE	CHEMBL1200984	
PSENEN	Q9NZ42	55851	TdgClinicalTrial		BMS-299897	BMS-299897	CHEMBL247471	CHEMBL247471	
PTEN	PTEN	5728	CKB		Gemcitabine	Gemcitabine	GEMCITABINE	CHEMBL888	28750271
ADARB2	227	105	GuideToPharmacologyInteractions	agonist	1061	PENTANOIC ACID	VALERIC ACID	CHEMBL268736	
TOP2B	TOP2B	7155	ChemblInteractions	inhibitor	CHEMBL452231	TENIPOSIDE	TENIPOSIDE	CHEMBL452231	
GCGR	251	2642	GuideToPharmacologyInteractions	antagonist	9479	ADOMEGLIVANT	ADOMEGLIVANT	CHEMBL3707351	
FGFR2	FGFR2	2263	CKB		BKM120	BKM120	BUPARLISIB	CHEMBL2017974	28119489
EPHA8	EPHA8	2046	NCI		PHYTOESTROGEN	PHYTOESTROGEN			15850105
ABL1	ABL1	25	CIViC		NILOTINIB	NILOTINIB	NILOTINIB	CHEMBL255863	20537386,19075254
AVPR2	368	554	GuideToPharmacologyInteractions	antagonist	2221	D(CH2)5[TYR(ME)2,THR4,TYR-NH29]OVT			
F8	2607	2157	GuideToPharmacologyInteractions	antagonist	6788	DROTRECOGIN ALFA	DROTRECOGIN ALFA (ACTIVATED)	CHEMBL2109065	
ADRA1A	P35348	148	TEND		PSEUDOEPHEDRINE	PSEUDOEPHEDRINE	PSEUDOEPHEDRINE	CHEMBL1590	
FLT3	FLT3	2322	CKB		UNC2025	UNC2025			25068800
PLAU	PLAU	5328	NCI		G-CSF	G-CSF	FILGRASTIM	CHEMBL1201567	16331631
